title	link	guid	category	description	pubDate
National Rainfed Area Authority (NRAA)	http://nraa.gov.in	http://nraa.gov.in	Apex Bodies	National Rainfed Area Authority (NRAA)	Thu, 20 May 2010 12:00:00 +0530
Ministry of Agriculture and Farmers Welfare	*	*	Ministries	Ministry of Agriculture and Farmers Welfare	Mon, 11 Feb 2008 12:00:00 +0530
Department of Agricultural Research and Education (DARE)	http://dare.gov.in	http://dare.gov.in	Departments	Department of Agricultural Research and Education (DARE)	Wed, 06 Dec 2000 12:00:00 +0530
Department of Agriculture, Cooperation and Farmers Welfare	http://agricoop.gov.in	http://agricoop.gov.in	Departments	Department of Agriculture, Cooperation and Farmers Welfare	Wed, 03 May 2017 06:03:06 +0530
Department of Animal Husbandry, Dairying and Fisheries	http://dadf.gov.in	http://dadf.gov.in	Departments	Department of Animal Husbandry, Dairying and Fisheries	Fri, 25 Feb 2000 12:00:00 +0530
Mahalanobis National Crop Forecast Centre (NCFC), New Delhi	http://www.ncfc.gov.in	http://www.ncfc.gov.in	Attached Offices	Mahalanobis National Crop Forecast Centre (NCFC), New Delhi	Tue, 18 Feb 2014 12:00:00 +0530
Directorate of Millets Development	http://dmd.dacnet.nic.in	http://dmd.dacnet.nic.in	Attached Offices	Directorate of Millets Development	Thu, 14 Jan 2016 12:00:00 +0530
Directorate of Jute Development	http://djd.dacnet.nic.in	http://djd.dacnet.nic.in	Attached Offices	Directorate of Jute Development	Wed, 13 Jan 2016 12:00:00 +0530
Directorate of Pulses Development, Department of Agriculture,Cooperation  and  Farmers Welfare	http://dpd.gov.in	http://dpd.gov.in	Attached Offices	Directorate of Pulses Development, Technology Mission on Oilseeds, Pulses and Maize (TMOP and M), Ministry of Agriculture, Government of India, Bhopal.	Sat, 13 May 2017 01:08:43 +0530
National Seed Research and Training Centre (NSRTC)	http://nsrtc.nic.in	http://nsrtc.nic.in	Attached Offices	National Seed Research and Training Centre (NSRTC)	Wed, 13 Jan 2016 12:00:00 +0530
Southern Region Farm Machinery Training and Testing Institute (SRFMT and TI)	http://srfmtti.dacnet.nic.in	http://srfmtti.dacnet.nic.in	Attached Offices	Southern Region Farm Machinery Training and Testing Institute (SRFMT&amp;TI)	Mon, 05 Oct 2015 12:00:00 +0530
North Eastern Farm Machinery Training and Testing Institute, Chariali	http://nerfmtti.nic.in	http://nerfmtti.nic.in	Attached Offices	North Eastern Farm Machinery Training and Testing Institute, Chariali	Wed, 13 Jan 2016 12:00:00 +0530
Central Poultry Development Organization (CPDO), Eastern Region	http://cpdobbser.in	http://cpdobbser.in	Attached Offices	Central Poultry Development Organization (CPDO), Eastern Region	Tue, 11 Sep 2012 12:00:00 +0530
Directorate of Arecanut and Spices Development (DSAD)	http://dasd.gov.in	http://dasd.gov.in	Attached Offices	Directorate of Arecanut and Spices Development (DSAD)	Tue, 11 Aug 2015 12:00:00 +0530
Directorate of Plant Protection Quarantine and Storage, Ministry of Agriculture	http://ppqs.gov.in	http://ppqs.gov.in	Attached Offices	Directorate of Plant Protection Quarantine and Storage, Ministry of Agriculture	Tue, 29 Mar 2011 12:00:00 +0530
National Co-operative Development Corporation (NCDC)	http://www.ncdc.in	http://www.ncdc.in	Attached Offices	National Co-operative Development Corporation (NCDC)	Wed, 13 Sep 2000 12:00:00 +0530
Directorate of Economics and Statistics (DES)	http://eands.dacnet.nic.in	http://eands.dacnet.nic.in	Attached Offices	Directorate of Economics and Statistics (DES)	Tue, 15 Nov 2011 12:00:00 +0530
Directorate of Cashewnut and Cocoa Development (DCCD)	http://dccd.gov.in	http://dccd.gov.in	Attached Offices	Directorate of Cashewnut and Cocoa Development (DCCD)	Tue, 02 Sep 2003 12:00:00 +0530
Directorate of Rice Development, Patna	http://drdpat.bih.nic.in	http://drdpat.bih.nic.in	Attached Offices	Directorate of Rice Development, Patna	Wed, 18 Jan 2006 12:00:00 +0530
Directorate of Oil Seeds Development	http://oilseeds.dacnet.nic.in	http://oilseeds.dacnet.nic.in	Attached Offices	Directorate of Oil Seeds Development	Wed, 13 Jan 2016 12:00:00 +0530
Central Fertilizer Quality Control and Training Institute	http://cfqcti.dacnet.nic.in	http://cfqcti.dacnet.nic.in	Attached Offices	Central Fertilizer Quality Control and Training Institute	Wed, 23 Jan 2008 12:00:00 +0530
Directorate of Extension, Department of Agriculture,Cooperation  and  Farmers Welfare	http://krishivistar.gov.in	http://krishivistar.gov.in	Attached Offices	Directorate of Extension, Department of Agriculture,Cooperation &amp; Farmers Welfare	Wed, 19 Apr 2017 01:19:53 +0530
Northern Farm Machinery Training  and  Testing Institute, Hissar	http://nrfmtti.gov.in	http://nrfmtti.gov.in	Attached Offices	Northern Farm Machinery Training &amp; Testing Institute, Hissar	Wed, 13 Jan 2016 12:00:00 +0530
Directorate of Tobacco Development	http://dtd.dacnet.nic.in/index.htm	http://dtd.dacnet.nic.in/index.htm	Attached Offices	Directorate of Tobacco Development	Thu, 14 Jan 2016 12:00:00 +0530
